0,1,2,3,4,5
España [+],"214,847","0,13","4,62",,"-16,05%"
Alemania [+],"636,876","0,15","7,72",,"-9,41%"
Reino Unido [+],"313,729","0,11","4,66",,"-13,20%"
Francia [+],"279,991","0,10","4,26",,"-12,72%"
Italia [+],"297,352","0,13","5,03",,"-10,54%"
Portugal [+],"40,433","0,12","3,96",,"-15,16%"
Estados Unidos [+],"4.535,301","0,23","13,68",,"-10,58%"
Japón [+],"1.061,774","0,21","8,39",,"-6,56%"
China [+],"11.680,416","0,51","8,20",,"1,22%"
Emiratos Árabes Unidos [+],"203,136","0,33","20,70",,"-5,83%"
Afganistán [+],"11,948","0,16","0,31",,"-3,03%"
Antigua y Barbuda [+],"0,457","0,26","4,35",,"-14,30%"
Albania [+],"5,103","0,14","1,73",,"-8,60%"
Armenia [+],"5,819","0,16","1,98",,"6,07%"
Angola [+],"22,514","0,11","0,69",,"-10,87%"
Argentina [+],"176,510","0,20","3,88",,"-7,32%"
Austria [+],"63,691","0,14","7,25",,"-10,46%"
Australia [+],"386,439","0,31","15,22",,"-7,74%"
Azerbaiyán [+],"33,895","0,24","3,36",,"-4,41%"
Bosnia y Herzegovina [+],"23,432","0,50","6,70",,"-13,48%"
Barbados [+],"1,137","0,31","3,95",,"-12,59%"
Bangladés [+],"108,504","0,14","0,64",,"-2,49%"
Bélgica [+],"84,080","0,15","7,24",,"-15,79%"
Burkina Faso [+],"3,250","0,07","0,16",,"-12,58%"
Bulgaria [+],"38,012","0,25","5,48",,"-10,95%"
Baréin [+],"36,672","0,53","21,60",,"-2,46%"
Burundi [+],"0,287","0,03","0,02",,"-14,48%"
Benín [+],"7,346","0,18","0,61",,"-12,17%"
Brunéi [+],"7,981","0,29","17,95",,"-1,51%"
Bolivia [+],"20,640","0,22","1,79",,"-15,26%"
Brasil [+],"451,801","0,15","2,11",,"-5,93%"
Bahamas [+],"1,888","0,16","4,64",,"-14,25%"
Bután [+],"1,458","0,17","1,75",,"-1,82%"
Botsuana [+],"7,055","0,19","2,92",,"-8,29%"
Bielorrusia [+],"58,969","0,33","6,26",,"-5,71%"
Belice [+],"0,403","0,17","1,01",,"-14,90%"
Canadá [+],"542,787","0,31","14,43",,"-9,62%"
República Democrática del Congo [+],"3,233","0,03","0,04",,"-9,89%"
República Centroafricana [+],"0,354","0,08","0,07",,"-13,72%"
República del Congo [+],"6,183","0,32","1,09",,"-5,06%"
Suiza [+],"35,299","0,06","4,07",,"-11,81%"
Costa de Marfil [+],"12,098","0,09","0,46",,"-5,82%"
Chile [+],"84,556","0,19","4,58",,"-7,34%"
Camerún [+],"9,314","0,10","0,36",,"-7,67%"
Colombia [+],"90,252","0,13","1,80",,"-3,28%"
Costa Rica [+],"7,818","0,08","1,55",,"-12,45%"
Cuba [+],"22,938","0,08","2,00",,"-12,42%"
Cabo Verde [+],"0,803","0,24","1,42",,"-11,85%"
Chipre [+],"6,272","0,19","5,19",,"-13,06%"
República Checa [+],"92,082","0,22","8,66",,"-12,42%"
Yibuti [+],"0,855","0,16","0,85",,"-17,19%"
Dinamarca [+],"25,708","0,08","4,43",,"-15,39%"
Dominica [+],"0,153","0,21","2,03",,"-13,59%"
República Dominicana [+],"29,093","0,16","2,62",,"2,65%"
Argelia [+],"163,473","0,35","3,77",,"-8,84%"
Ecuador [+],"33,279","0,18","1,92",,"-17,95%"
Estonia [+],"14,370","0,30","11,05",,"-11,20%"
Egipto [+],"269,545","0,22","2,62",,"-6,18%"
Eritrea [+],"0,727","0,05","0,13",,"-16,77%"
Etiopía [+],"17,009","0,06","0,15",,"-12,94%"
Finlandia [+],"40,704","0,16","7,29",,"-8,21%"
Fiyi [+],"2,380","0,24","2,57",,"-2,68%"
Gabón [+],"5,946","0,19","2,76",,"-6,54%"
Granada [+],"0,185","0,11","1,69",,"-13,85%"
Georgia [+],"10,444","0,20","2,68",,"-4,94%"
Ghana [+],"16,520","0,10","0,54",,"-8,78%"
Gambia [+],"0,518","0,10","0,23",,"-13,10%"
Guinea [+],"2,774","0,08","0,20",,"-12,06%"
Guinea Ecuatorial [+],"4,276","0,18","3,04",,"-3,93%"
Grecia [+],"56,130","0,19","5,06",,"-22,43%"
Guatemala [+],"19,617","0,14","1,10",,"-15,75%"
Guinea-Bisáu [+],"0,290","0,08","0,14",,"-12,56%"
